,Hotel_name,Hotel_address,Hotel_price,Rating,Amenities
82,Oyo Home 69085 BV Stayz,"Chennai, Chennai",₹799,4.1 (271 Ratings),"Free Wifi, AC, TV"
83,OYO 78705 Live In,"Chennai, Chennai",₹799,3.5 (551 Ratings),"AC, TV, Shower Head"
84,Collection O 79149 Grace Residency RK Salai,"Chennai., Chennai",₹1299,4.1 (512 Ratings),"Private Entrance, Parking Facility, Reception"
85,SPOT ON 70091 4 Seasonz Residency,"Near Golden tower, Thiruvengadam Street, Chennai",₹799,2.1 (31 Ratings),"TV, AC, Free Wifi"
86,OYO Flagship 85121 Gold Inn,"India, Chennai",₹799,3.2 (10 Ratings),"Reception, Power backup, Security"
87,Spot On 40324 Vvr Residency,"Near Surya Hospital, Arunachalam Road, Chennai",₹799,2.4 (88 Ratings),"Parking Facility, Reception, Free Wifi"
88,OYO 80088 Golden Manor,"India, Chennai",₹1461,4 (31 Ratings),"Elevator, Reception, Daily Housekeeping"
89,OYO flagship 84263 Arunachala Guest House,NEAR BY CMBT BUS STAND & Passport and medical verification centre,₹899,4.2 (146 Ratings),"Hair Dryer, Geyser, AC"
90,Collection O 5446 Hotel Maharajay,"CMWSSB Division 93, Ward 93, Zone 7 Ambattur, Ambattur, Thiruvallur District, Tamil Nadu, 600101, India Chennai Tamil NaduIndia600037",₹1451,5 (1 Ratings),"Parking Facility, Elevator, Free Wifi"
91,OYO 78272 Durga Residency,"India, Chennai",₹1299,3.6 (57 Ratings),"Reception, Security, Card Payment"
92,Collection O 76866 Grace Residency,"Mylapore, Chennai",₹1501,4.1 (625 Ratings),"Private Entrance, Hair Dryer, Parking Facility"
93,Flagship 83060 Tanu Residency,"Opposite D.M.K Head Office, Anna Salai, Near Student Xerox, Teynampet, Chennai",₹1242,3.5 (113 Ratings),"Reception, Ticket Tour Assistance, Caretaker"
94,SPOT ON 79677 Gm Guest House,"NO.1/42, Main Bazzar JJ Nagar, Mogappair East, Chennai-600037",₹1012,3.3 (336 Ratings),"Reception, Free Wifi, Daily Housekeeping"
95,OYO Flagship 76921 Hotel Sakthi Park Inn,"India, Chennai",₹999,2.8 (13 Ratings),"Parking Facility, Reception, Ticket Tour Assistance"
96,OYO 4324 Hotel Emerald Manor,"Near CMBT & Arumbakkam Metro Station, Chennai",₹1299,3.9 (464 Ratings),"Private Entrance, Reception, Power backup"
97,OYO 79065 Gold Residency,"Dr, Singaravelu St, Pondy Bazaar, Parthasarathi Puram, T. Nagar, Chennai, Tamil Nadu 600017",₹1771,3.8 (775 Ratings),"Hair Dryer, Reception, Security"
98,Silver Key 76646 Krishnan Premkumar Apartments,"Saligramam, Chennai",₹1299,3.7 (870 Ratings),"Free Wifi, AC"
99,OYO Townhouse 611 Anna Nagar Welcome Inn,"Anna Nagar Extn. Behind MMM hospital, Chennai",₹1900,3.9 (980 Ratings),"Reception, Cot, Public Washroom"
